Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio,Title,Artist,BPM_manual
Familiar Sad,Pop,https://open.spotify.com/intl-de/track/3Z2tPWiNiIpg8UMMoowHIk?si=146d31a0b5954849,0.0,72.46226874391431,0.0,1.0,0.2252786,0.14503631,0.0,6703.804376502132,1460.4188447804268,0.973188178015984,0.5222242630786933,63.63636363636363,We Are The World,U.S.A. For Africa,72.5
Familiar Sad,Piano Ballad,https://open.spotify.com/intl-de/track/5dyihZecYMcEPq09Bk2OL2?si=cc9a464975a94c9d,0.0,154.86076885165104,1.1592359e-12,1.0,0.1660001,0.1295442,132.5242502429037,7961.304080095124,1612.2508499253415,0.8921681285028441,1.0,84.69656992084433,Robin Hood,Anson Seabra,78.0
Familiar Sad,Indie Pop,https://open.spotify.com/intl-de/track/3JvKfv6T31zO0ini8iNItO?si=45d2e89d173f45be,0.0,120.32640994912931,0.0,1.0,0.098012164,0.12750238,0.0,12057.969994040595,1434.9331527604993,0.7765192470728043,1.0,86.96883852691218,Another Love,Tom Odell,122.3
Familiar Sad,Folk,https://open.spotify.com/intl-de/track/2L93TdW2GMue1H2zlkt30F?si=f88079db9b404f6a,0.0,128.1937773589494,0.0,1.0,0.22611219,0.11289099,0.0,5738.286687078227,1095.1196344090515,0.749535485018604,0.5053851788950151,60.834990059642145,Suzanne,Leonard Cohen,127.5
Familiar Sad,Folk Rock,https://open.spotify.com/intl-de/track/5zb7npjQqoJ7Kcpq4yD9qn?si=473971c3933d416e,0.0,54.58329363567073,0.0,1.0,0.20869859,0.14304096,0.0,8000.146181892373,1309.9583765598202,0.7718474081646177,1.0,100.0,You Want It Darker,Leonard Cohen,54.5
Unfamiliar Sad,Soul,https://open.spotify.com/intl-de/track/4h7QUNPruq8t58z7CLExVh?si=8a4980533b374108,0.0,67.72599580411541,0.0,1.0,0.13737443,0.11000875,0.0,7889.99932386591,1662.0932611851215,1.34867155743921,1.0,100.0,Unchained Melody,George Benson,67.0
Unfamiliar Sad,Lo-fi Hip Hop,https://open.spotify.com/intl-de/track/6Gty7m1DoEz1IV5IqL5ZDL?si=44f9c601895347f3,0.0,56.508103094796446,0.0,1.0,0.15259042,0.13985948,0.0,6918.087462099564,1443.4627196365332,0.776683437370142,0.4249717391899991,43.05177111716621,Losing Interest (feat. Lane 37),CuBox,113.0
Unfamiliar Sad,Classical Music,https://open.spotify.com/intl-de/track/4qdAkMXaWSxYcC20VBn4VC?si=858eec2ee39547f5,0.0,114.00669642857144,7.204845e-05,1.0,0.16922496,0.12774926,597.9595916310059,6256.321128878442,1520.6729642866185,0.4645859047346515,0.6887026550265332,69.07775768535262,Waiting For Godard - Full Mix,Marco Andrea Pes,117.8
Unfamiliar Sad,Indie,https://open.spotify.com/intl-de/track/6CJMcJR3PxoAmT2Uqp5CWe?si=97d11f696ba14fc7,0.0,72.03461021505376,2.7870079e-05,1.0,0.11735439,0.09833245,628.3952730220442,9049.671225262524,2032.058157987227,0.6254513634820024,1.0,80.66465256797584,Love and Affection,Rumer,72.0
Unfamiliar Sad,Ambient,https://open.spotify.com/intl-de/track/6oDbJij4zeGPulWJ2R2BRP?si=15e7359d6da34390,0.0,35.00262863229189,0.017143883,1.0,0.21365921,0.12583488,146.60834189098944,1310.0531051798826,300.8775769015692,1.0990993267788207,0.5224042445376782,68.72384937238493,outsiders,Blu Velvet,35.0
Unfamiliar Sad,Classic,https://open.spotify.com/intl-de/track/3GKQpGuxWDMsLrLhUDj60d?si=7c4ac63481674436,0.0,134.93115757266702,1.1268905e-06,1.0,0.12380378,0.082868814,378.9050454265322,8153.382027169027,1395.7707506225947,0.7291644197772628,0.4413140995168497,45.76271186440678,To Hold The Sky (För Skylar Hagen),flora cash,134.2
Unfamiliar Sad,Indie Folk,https://open.spotify.com/intl-de/track/4IOXp1xFiMh5FtSEGim4CO?si=31c76053ffb34a52,0.0,127.20997903795234,0.0,1.0,0.21090609,0.1385426,0.0,8335.008967680582,1791.5176991878652,0.7476485331175099,0.5016448557521931,58.40909090909091,Soul Mate,flora cash,126.3
Familiar Happy,R&B,https://open.spotify.com/intl-de/track/7r3KzVwHtr2iMZtqJvFn9A?si=e2dc48b5126a4597,0.0,122.99744865936935,2.8178501e-06,1.0,0.24187936,0.1584546,341.48473060144676,9725.681711689724,3434.954180795868,0.464676241221031,0.5608783236277449,60.957642725598525,As,George Michael,123.2
Familiar Happy,Soul,https://open.spotify.com/intl-de/track/0bRXwKfigvpKZUurwqAlEh?si=3981de1e6fd44b25,0.0,97.99541541916167,0.0,1.0,0.20611463,0.18097924,0.0,7892.7667588873965,2138.402837602784,0.4518426016292929,1.0,85.48387096774194,Lovely Day,Bill Withers,98.1
