,Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio
Bill Withers - Lovely Day (Official Audio).mp3,Familiar Happy,Soul,https://open.spotify.com/intl-de/track/0bRXwKfigvpKZUurwqAlEh?si=3981de1e6fd44b25,0.0,98.08864671534585,0.0,1.0,0.21232507,0.1785306,0.0,7892.7667588873965,2153.846803542929,0.4806991338102383,0.9756880615322141,69.12751677852349
Luther Vandross-Never Too Much.mp3,Familiar Happy,R&B,https://open.spotify.com/intl-de/track/3nFJbZCHP4d9vduKjJLdBL?si=7cd2f794312940b4,0.0,110.17791293520425,0.0,1.0,0.20792088,0.18292049,0.0,9204.687414915723,2696.886808990727,0.6824616172361143,0.6045313037894856,65.80717488789237
Aretha Franklin - I Say a Little Prayer (Official Audio).mp3,Familiar Happy,Gospel,https://open.spotify.com/intl-de/track/3NfxSdJnVdon1axzloJgba?si=627d995d2d014c27,0.0,132.712626156434,1.6117036e-07,1.0,0.19734459,0.12801003,819.9596506346016,8598.03586743337,2402.0425577957253,0.9128528422811962,0.6570416951077307,66.52173913043478
Madonna - La Isla Bonita (Official Video).mp3,Familiar Happy,Latin Pop,https://open.spotify.com/intl-de/track/6r8k1vznHrzlEKYxL4dZEe?si=7f53dcbd39a94681,0.0,99.98290318744053,0.0,1.0,0.22680347,0.15887555,0.0,8052.033935505848,2894.908069265493,0.36926600441516605,1.0,84.67153284671532
Forever.mp3,Familiar Happy,R&B,https://open.spotify.com/intl-de/track/5rWyKJMaTXL0TArnJ8IGts?si=520550c116be4cc4,0.0,72.12148169948632,2.1155008e-08,1.0,0.2585419,0.15751618,592.9688968599951,8329.271500847995,1987.8365296643235,0.6209218085868841,0.514774811334696,62.95336787564767
Commodores - Easy (Audio).mp3,Familiar Happy,Soul,https://open.spotify.com/intl-de/track/1JQ6Xm1JrvHfvAqhl5pwaA?si=1f8f52f46cbd4c37,0.0,132.36472228011672,3.832775e-13,1.0,0.164025,0.13176018,130.19133070132747,10010.835784963429,2151.702626541643,0.58903650152724,0.6719785768665186,64.12776412776412
Little Lies (2018 Remaster).mp3,Familiar Happy,Pop Rock,https://open.spotify.com/intl-de/track/08o75xMKmGrKny6GsXrNJW?si=4b58eba089564fb2,0.0,124.88275078988941,7.836989e-08,1.0,0.20294128,0.17495447,858.3031375073872,10578.785373873961,3921.909851570473,1.7980437481137534,1.0,100.0
Toploader - Dancing in the Moonlight (Official Video).mp3,Familiar Happy,Pop Rock,https://open.spotify.com/intl-de/track/3Fzlg5r1IjhLk2qRw667od?si=0d198b1579204b5b,0.0,119.47322349627044,0.0,1.0,0.319226,0.15828839,0.0,10239.381685985485,2491.983643304688,0.41403383665689886,0.5403970724794592,61.079219288174514
C3DRIC & MY PARADE - Lullaby (Music Video).mp3,Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/3dudWvfW6hu6WlBf58M9m2?si=d9a10b0a200e4380,0.0,126.99725029726515,0.0,1.0,0.27969748,0.16432376,0.0,9167.90225352706,3343.5514883961796,0.41083267437450693,0.5097601753234063,61.43141153081511
Thierry Von Der Warth feat. Modi - Paradise (Music Video).mp3,Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/45Q8FBzKZSIG5KsIe7VabG?si=83e20b11cacc4c9f,0.0,112.48101586230172,0.0,1.0,0.1879458,0.1495559,0.0,9462.353100863207,2415.0397669808294,0.5869751217246943,0.7380858502473542,64.4122383252818
C3DRIC & Carston - Chasing The Sun (Music Video).mp3,Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/7AplbBlJuyQmKkliFy25Yf?si=2e97dfbefa834aff,0.0,120.19552139037434,3.824105e-07,1.0,0.18815146,0.1671159,192.26153845705977,8567.571518880588,2860.7779650600064,0.6536350763045153,0.4861450517043769,58.348294434470375
Thierry von der Warth & Jack David - Sun Is Rising (Music Video).mp3,Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/0PoUwYvKs4n36lSbVgHqjC?si=c2d68d8bff3b4b0e,0.0,123.99157269673704,0.0,1.0,0.19513893,0.15670156,0.0,7850.453703152967,1870.5926474049422,1.5858969802271556,1.0,100.0
Alber-K Sunday.mp3,Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/4N1B9DdnmMXJO8Mts5G3QE?si=3c8dc0bcf377476a,0.0,128.3035930195067,0.0,1.0,0.2960347,0.1717812,0.0,8781.767542561414,3384.285271478209,0.6579946305793037,0.4693339041920384,55.5765595463138
